raw_category	new_category
drawer	cabinet
painting	picture
shelf	shelf
chair	chair
doorway	doorway
window	window
book	book
diningtable	table
pillow	pillow
remotecontrol	remote_control
cellphone	phone
houseplant	plant
pencil	pencil
television	tv
bowl	bowl
bed	bed
dresser	dresser
garbagecan	garbage_can
statue	statue
pen	pen
vase	vase
egg	egg
creditcard	creditcard
spraybottle	bottle
laptop	computer
keychain	keychain
box	box
toilet	toilet
faucet	tap
sink	sink
sinkbasin	sink
watch	clock
mug	cup
toiletpaper	paper
plunger	plunger
plate	plate
candle	candle
tvstand	tv_stand
countertop	table
soapbottle	bottle
sofa	sofa
fridge	fridge
baseballbat	baseballbat
desklamp	lamp
armchair	chair
floorlamp	lamp
alarmclock	clock
dishsponge	dishsponge
basketball	basketball
tomato	tomato
sidetable	table
potato	potato
cd	cd 
apple	apple
butterknife	knife
lettuce	lettuce
tissuebox	box
shelvingunit	shelf
fork	fork
spatula	knife
cup	cup
newspaper	paper
spoon	spoon
papertowelroll	paper_towel_roll
stool	chair
saltshaker	bottle
knife	knife
bread	bread
peppershaker	bottle
dogbed	bed
doorframe	doorframe
bottle	bottle
garbagebag	garbage_bag
teddybear	teddybear
pot	pot
winebottle	bottle
pan	pan
cabinet	cabinet
toaster	toaster
ladle	spoon
desk	desk
kettle	bottle
tennisracket	tennis_racket
coffeemachine	coffee_maker
cart	cart
soapbar	soapbar
safe	safe
cloth	cloth
laundryhamper	laundry_hamper
microwave	microwave
clothesdryer	clothes_dryer
washingmachine	machine
boots	shoe
dumbbell	dumbbell
coffeetable	table
vacuumcleaner	vacuum_cleaner
roomdecor	decor
ottoman	chair
tabletopdecor	decor
desktop	desk
